dataset,error,seed,model
electricity,0.0971879970911897,0,transformer
electricity,0.1244227111516161,42,transformer
electricity,0.1338687892114121,100,transformer
electricity,0.120221387052431,500,transformer
electricity,0.0886392924780059,1000,transformer
electricity,0.0957130797820299,2000,transformer
electricity,0.0748072453506305,3000,transformer
electricity,0.0824457699297648,4000,transformer
electricity,0.0918806870051384,5000,transformer
electricity,0.0871850948775453,6000,transformer
traffic,0.1441564002599752,0,transformer
traffic,0.1461699000896394,42,transformer
traffic,0.1494238302007325,100,transformer
traffic,0.1434194006578528,500,transformer
traffic,0.1472905576180249,1000,transformer
traffic,0.1450560845621355,2000,transformer
traffic,0.1562627619157778,3000,transformer
traffic,0.1720442476097822,4000,transformer
traffic,0.1507431662128833,5000,transformer
traffic,0.1463750373236196,6000,transformer
m4_hourly,0.1034061510854346,0,transformer
m4_hourly,0.0890279924116469,42,transformer
m4_hourly,0.0864573872407897,100,transformer
m4_hourly,0.1050149594503517,500,transformer
m4_hourly,0.0929907148992954,1000,transformer
m4_hourly,0.090075323364257,2000,transformer
m4_hourly,0.1010489403843524,3000,transformer
m4_hourly,0.1120525864579259,4000,transformer
m4_hourly,0.129937508434921,5000,transformer
m4_hourly,0.0976832029189962,6000,transformer
m4_daily,0.0675552628057003,0,transformer
m4_daily,0.0565634222110394,42,transformer
m4_daily,0.0497457359244779,100,transformer
m4_daily,0.0485332286163979,500,transformer
m4_daily,0.0581689437182163,1000,transformer
m4_daily,0.0500674506678813,2000,transformer
m4_daily,0.0560332180360702,3000,transformer
m4_daily,0.0475535987156349,4000,transformer
m4_daily,0.0519513997570604,5000,transformer
m4_daily,0.0545468084308244,6000,transformer
